station,signal_type,address,tag,signal_name,device,comment
cpu,INTERNAL,,X340_[20],X340_[20],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[21],X340_[21],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[22],X340_[22],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[23],X340_[23],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[24],X340_[24],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[25],X340_[25],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[26],X340_[26],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[27],X340_[27],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[28],X340_[28],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[29],X340_[29],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[2],X340_[2],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[30],X340_[30],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[31],X340_[31],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[3],X340_[3],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[4],X340_[4],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[5],X340_[5],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[6],X340_[6],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[7],X340_[7],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[8],X340_[8],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X340_[9],X340_[9],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,_var_begin,_var_begin,Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y340_,Y340_,Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y340_[0],Y340_[0],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y340_[10],Y340_[10],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y340_[11],Y340_[11],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y340_[12],Y340_[12],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y340_[13],Y340_[13],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y340_[14],Y340_[14],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y340_[15],Y340_[15],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y340_[1],Y340_[1],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y340_[2],Y340_[2],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y340_[3],Y340_[3],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y340_[4],Y340_[4],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y340_[5],Y340_[5],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y340_[6],Y340_[6],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y340_[7],Y340_[7],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y340_[8],Y340_[8],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y340_[9],Y340_[9],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,_var_begin,_var_begin,Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X400_,X400_,Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,_var_begin,_var_begin,Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y400_,Y400_,Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,_var_begin,_var_begin,Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,X440_,X440_,Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,_var_begin,_var_begin,Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y440_,Y440_,Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y440_[0],Y440_[0],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y440_[10],Y440_[10],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y440_[11],Y440_[11],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y440_[12],Y440_[12],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y440_[13],Y440_[13],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y440_[14],Y440_[14],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y440_[15],Y440_[15],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y440_[1],Y440_[1],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y440_[2],Y440_[2],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y440_[3],Y440_[3],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y440_[4],Y440_[4],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y440_[5],Y440_[5],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y440_[6],Y440_[6],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y440_[7],Y440_[7],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y440_[8],Y440_[8],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,Y440_[9],Y440_[9],Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,_var_begin,_var_begin,Inovance GL20,源表: EIP_IO映射_变量表.csv
cpu,INTERNAL,,SS,SS,Inovance GL20,源表: EIP_IO映射_变量表.csv
