station,signal_type,address,tag,signal_name,device,comment
di_ext_3,DI,DI3:X16,L3_Feed_Cyl_Up,3层分料气缸上位,3层分料,P26/EFS1/7.8
di_ext_3,DI,DI3:X17,L3_Feed_Cyl_Dn,3层分料气缸下位,3层分料,P26/EFS1/7.9
di_ext_4,DI,DI4:X0,L2_Discharge_Done,2层放料完成感应器,2层分料,P27/EFS1/8.2
di_ext_4,DI,DI4:X1,L2_PreFeed_Sensor,2层分料前感应器,2层分料,P27/EFS1/8.3
di_ext_4,DI,DI4:X2,L2_InPlace_Sensor1,2层到位感应器1,2层分料,P27/EFS1/8.4
di_ext_4,DI,DI4:X3,L2_InPlace_Sensor2,2层到位感应器2,2层分料,P27/EFS1/8.5
di_ext_4,DI,DI4:X4,L2_Block_Cyl_Up,2层阻挡气缸上位,2层分料,P27/EFS1/8.6
di_ext_4,DI,DI4:X5,L2_Block_Cyl_Dn,2层阻挡气缸下位,2层分料,P27/EFS1/8.7
di_ext_4,DI,DI4:X6,L2_Feed_Cyl_Up,2层分料气缸上位,2层分料,P27/EFS1/8.8
di_ext_4,DI,DI4:X7,L2_Feed_Cyl_Dn,2层分料气缸下位,2层分料,P27/EFS1/8.9
di_ext_4,DI,DI4:X10,L1_Discharge_Done,1层放料完成感应器,1层分料,P28/EFS1/9.2
di_ext_4,DI,DI4:X11,L1_PreFeed_Sensor,1层分料前感应器,1层分料,P28/EFS1/9.3
di_ext_4,DI,DI4:X12,L1_InPlace_Sensor1,1层到位感应器1,1层分料,P28/EFS1/9.4
di_ext_4,DI,DI4:X13,L1_InPlace_Sensor2,1层到位感应器2,1层分料,P28/EFS1/9.5
di_ext_4,DI,DI4:X14,L1_Block_Cyl_Up,1层阻挡气缸上位,1层分料,P28/EFS1/9.6
di_ext_4,DI,DI4:X15,L1_Block_Cyl_Dn,1层阻挡气缸下位,1层分料,P28/EFS1/9.7
di_ext_4,DI,DI4:X16,L1_Feed_Cyl_Up,1层分料气缸上位,1层分料,P28/EFS1/9.8
di_ext_4,DI,DI4:X17,L1_Feed_Cyl_Dn,1层分料气缸下位,1层分料,P28/EFS1/9.9
do_ext_1,DO,DO1:Y0,L4_Block_Solenoid,4层阻挡电磁阀,YV1,P29/EFS1/10.2
do_ext_1,DO,DO1:Y1,L4_Feed_Solenoid,4层分料电磁阀,YV2,P29/EFS1/10.3
do_ext_1,DO,DO1:Y2,L4_Conveyor_FWD,4层输送带正转,VF1-DI1,P29/EFS1/10.4
do_ext_1,DO,DO1:Y3,L4_Conveyor_Slow,4层输送带慢速转,VF1-DI2,P29/EFS1/10.5
do_ext_1,DO,DO1:Y4,L4_Conveyor_REV,4层输送带反转,VF1-DI3,P29/EFS1/10.6
do_ext_1,DO,DO1:Y5,L4_VFD_Reset,4层变频器复位,VF1-DI4/RST,P29/EFS1/10.7
do_ext_1,DO,DO1:Y10,L3_Block_Solenoid,3层阻挡电磁阀,YV3,P30/EFS1/11.2
do_ext_1,DO,DO1:Y11,L3_Feed_Solenoid,3层分料电磁阀,YV4,P30/EFS1/11.3
do_ext_1,DO,DO1:Y12,L3_Conveyor_FWD,3层输送带正转,VF2-DI1,P30/EFS1/11.4
do_ext_1,DO,DO1:Y13,L3_Conveyor_Slow,3层输送带慢速转,VF2-DI2,P30/EFS1/11.5
do_ext_1,DO,DO1:Y14,L3_Conveyor_REV,3层输送带反转,VF2-DI3,P30/EFS1/11.6
do_ext_1,DO,DO1:Y15,L3_VFD_Reset,3层变频器复位,VF2-DI4/RST,P30/EFS1/11.7
do_ext_2,DO,DO2:Y0,L2_Block_Solenoid,2层阻挡电磁阀,YV5,P31/EFS1/12.2
do_ext_2,DO,DO2:Y1,L2_Feed_Solenoid,2层分料电磁阀,YV6,P31/EFS1/12.3
do_ext_2,DO,DO2:Y2,L2_Conveyor_FWD,2层输送带正转,VF3-DI1,P31/EFS1/12.4
do_ext_2,DO,DO2:Y3,L2_Conveyor_Slow,2层输送带慢速转,VF3-DI2,P31/EFS1/12.5
do_ext_2,DO,DO2:Y4,L2_Conveyor_REV,2层输送带反转,VF3-DI3,P31/EFS1/12.6
do_ext_2,DO,DO2:Y5,L2_VFD_Reset,2层变频器复位,VF3-DI4/RST,P31/EFS1/12.7
do_ext_2,DO,DO2:Y10,L1_Block_Solenoid,1层阻挡电磁阀,YV7,P32/EFS1/13.2
do_ext_2,DO,DO2:Y11,L1_Feed_Solenoid,1层分料电磁阀,YV8,P32/EFS1/13.3
do_ext_2,DO,DO2:Y12,L1_Conveyor_FWD,1层输送带正转,VF4-DI1,P32/EFS1/13.4
do_ext_2,DO,DO2:Y13,L1_Conveyor_Slow,1层输送带慢速转,VF4-DI2,P32/EFS1/13.5
do_ext_2,DO,DO2:Y14,L1_Conveyor_REV,1层输送带反转,VF4-DI3,P32/EFS1/13.6
do_ext_2,DO,DO2:Y15,L1_VFD_Reset,1层变频器复位,VF4-DI4/RST,P32/EFS1/13.7
remote_io_1,DI,RIO1:X0,Lift_Cyl_MovPt1,升降气缸动点1,磁性开关,P94/B5&EFS1/2.1
remote_io_1,DI,RIO1:X1,Lift_Cyl_Home1,升降气缸原点1,磁性开关,P94/B5&EFS1/2.3
remote_io_1,DI,RIO1:X2,FrontGrip_MovPt1,前取料气缸动点1,磁性开关,P94/B5&EFS1/2.4
remote_io_1,DI,RIO1:X3,FrontGrip_Home1,前取料气缸原点1,磁性开关,P94/B5&EFS1/2.6
remote_io_1,DI,RIO1:X4,RearGrip_MovPt1,后取料气缸动点1,磁性开关,P94/B5&EFS1/2.7
remote_io_1,DI,RIO1:X5,RearGrip_Home1,后取料气缸原点1,磁性开关,P94/B5&EFS1/2.8
remote_io_1,DI,RIO1:X6,FrontGrip_MovPt2,前取料气缸动点2,磁性开关,P95/B5&EFS1/3.3
remote_io_1,DI,RIO1:X7,FrontGrip_Home2,前取料气缸原点2,磁性开关,P95/B5&EFS1/3.4
remote_io_1,DI,RIO1:X8,RearGrip_MovPt2,后取料气缸动点2,磁性开关,P95/B5&EFS1/3.5
remote_io_1,DI,RIO1:X9,RearGrip_Home2,后取料气缸原点2,磁性开关,P95/B5&EFS1/3.7
remote_io_1,DI,RIO1:XC,LongEdge1_Detect,长边1检测,SICK IME08-1B5NSZW2S,P96/B5&EFS1/4.2
remote_io_1,DI,RIO1:XD,LongEdge2_Detect,长边2检测,SICK IME08-1B5NSZW2S,P96/B5&EFS1/4.3
remote_io_1,DI,RIO1:XE,ShortEdge1_Detect,短边1检测,SICK IME08-1B5NSZW2S,P96/B5&EFS1/4.4
remote_io_1,DI,RIO1:XF,ShortEdge2_Detect,短边2检测,SICK IME08-1B5NSZW2S,P96/B5&EFS1/4.6
remote_io_1,DO,RIO1:Y10,Lift_Cyl_Up,升降气缸上升,YV1,P97/B5&EFS1/5.2
remote_io_1,DO,RIO1:Y11,Lift_Cyl_Dn,升降气缸下降,YV2,P97/B5&EFS1/5.3
remote_io_1,DO,RIO1:Y12,FrontGrip_Clamp,前夹紧气缸夹紧,YV3,P97/B5&EFS1/5.5
remote_io_1,DO,RIO1:Y13,FrontGrip_Release,前夹紧气缸松开,YV4,P97/B5&EFS1/5.6
remote_io_1,DO,RIO1:Y14,RearGrip_Clamp,后夹紧气缸夹紧,YV5,P97/B5&EFS1/5.7
remote_io_1,DO,RIO1:Y15,RearGrip_Release,后夹紧气缸松开,YV6,P97/B5&EFS1/5.8
