序号,类别,名称,数据类型,隐藏初始值,初始值,掉电保持,注释,
,,In_tTimer1[9],BOOL,OFF,OFF,不保持,计时器1输入数组元素9,
24,VAR,Q_tTimer1,BOOL[10],OFF,OFF,不保持,计时器1输出数组,
,,Q_tTimer1[0],BOOL,OFF,OFF,不保持,计时器1输出数组元素0,
,,Q_tTimer1[1],BOOL,OFF,OFF,不保持,计时器1输出数组元素1,
,,Q_tTimer1[2],BOOL,OFF,OFF,不保持,计时器1输出数组元素2,
,,Q_tTimer1[3],BOOL,OFF,OFF,不保持,计时器1输出数组元素3,
,,Q_tTimer1[4],BOOL,OFF,OFF,不保持,计时器1输出数组元素4,
,,Q_tTimer1[5],BOOL,OFF,OFF,不保持,计时器1输出数组元素5,
,,Q_tTimer1[6],BOOL,OFF,OFF,不保持,计时器1输出数组元素6,
,,Q_tTimer1[7],BOOL,OFF,OFF,不保持,计时器1输出数组元素7,
,,Q_tTimer1[8],BOOL,OFF,OFF,不保持,计时器1输出数组元素8,
,,Q_tTimer1[9],BOOL,OFF,OFF,不保持,计时器1输出数组元素9,
25,VAR,R_tTimer1,BOOL[10],OFF,OFF,不保持,计时器1复位数组,
,,R_tTimer1[0],BOOL,OFF,OFF,不保持,计时器1复位数组元素0,
,,R_tTimer1[1],BOOL,OFF,OFF,不保持,计时器1复位数组元素1,
,,R_tTimer1[2],BOOL,OFF,OFF,不保持,计时器1复位数组元素2,
,,R_tTimer1[3],BOOL,OFF,OFF,不保持,计时器1复位数组元素3,
,,R_tTimer1[4],BOOL,OFF,OFF,不保持,计时器1复位数组元素4,
,,R_tTimer1[5],BOOL,OFF,OFF,不保持,计时器1复位数组元素5,
,,R_tTimer1[6],BOOL,OFF,OFF,不保持,计时器1复位数组元素6,
,,R_tTimer1[7],BOOL,OFF,OFF,不保持,计时器1复位数组元素7,
,,R_tTimer1[8],BOOL,OFF,OFF,不保持,计时器1复位数组元素8,
,,R_tTimer1[9],BOOL,OFF,OFF,不保持,计时器1复位数组元素9,
26,VAR,PT_tTimer1,DINT[10],0,0,不保持,计时器1预设值数组,
,,PT_tTimer1[0],DINT,0,0,不保持,计时器1预设值数组元素0,
,,PT_tTimer1[1],DINT,0,0,不保持,计时器1预设值数组元素1,
,,PT_tTimer1[2],DINT,0,0,不保持,计时器1预设值数组元素2,
,,PT_tTimer1[3],DINT,0,0,不保持,计时器1预设值数组元素3,
,,PT_tTimer1[4],DINT,0,0,不保持,计时器1预设值数组元素4,
,,PT_tTimer1[5],DINT,0,0,不保持,计时器1预设值数组元素5,
,,PT_tTimer1[6],DINT,0,0,不保持,计时器1预设值数组元素6,
,,PT_tTimer1[7],DINT,0,0,不保持,计时器1预设值数组元素7,
,,PT_tTimer1[8],DINT,0,0,不保持,计时器1预设值数组元素8,
,,PT_tTimer1[9],DINT,0,0,不保持,计时器1预设值数组元素9,
27,VAR,ET_tTimer1,DINT[10],0,0,不保持,计时器1当前值数组,
,,ET_tTimer1[0],DINT,0,0,不保持,计时器1当前值数组元素0,
,,ET_tTimer1[1],DINT,0,0,不保持,计时器1当前值数组元素1,
,,ET_tTimer1[2],DINT,0,0,不保持,计时器1当前值数组元素2,
,,ET_tTimer1[3],DINT,0,0,不保持,计时器1当前值数组元素3,
,,ET_tTimer1[4],DINT,0,0,不保持,计时器1当前值数组元素4,
,,ET_tTimer1[5],DINT,0,0,不保持,计时器1当前值数组元素5,
,,ET_tTimer1[6],DINT,0,0,不保持,计时器1当前值数组元素6,
,,ET_tTimer1[7],DINT,0,0,不保持,计时器1当前值数组元素7,
,,ET_tTimer1[8],DINT,0,0,不保持,计时器1当前值数组元素8,
,,ET_tTimer1[9],DINT,0,0,不保持,计时器1当前值数组元素9,
