序号,类型,变量名,数据类型,默认值,初始值,所属模块,注释
86,OUT,q_WorkstationParam5,REAL,0.0,0.0,工作站控制,工作站5参数输出
87,OUT,q_WorkstationParam6,REAL,0.0,0.0,工作站控制,工作站6参数输出
88,OUT,q_WorkstationParam7,REAL,0.0,0.0,工作站控制,工作站7参数输出
89,OUT,q_WorkstationParamUpdate0,BOOL,OFF,OFF,工作站控制,工作站0参数更新信号
90,OUT,q_WorkstationParamUpdate1,BOOL,OFF,OFF,工作站控制,工作站1参数更新信号
91,OUT,q_WorkstationParamUpdate2,BOOL,OFF,OFF,工作站控制,工作站2参数更新信号
92,OUT,q_WorkstationParamUpdate3,BOOL,OFF,OFF,工作站控制,工作站3参数更新信号
93,OUT,q_WorkstationParamUpdate4,BOOL,OFF,OFF,工作站控制,工作站4参数更新信号
94,OUT,q_WorkstationParamUpdate5,BOOL,OFF,OFF,工作站控制,工作站5参数更新信号
95,OUT,q_WorkstationParamUpdate6,BOOL,OFF,OFF,工作站控制,工作站6参数更新信号
96,OUT,q_WorkstationParamUpdate7,BOOL,OFF,OFF,工作站控制,工作站7参数更新信号
97,OUT,q_MESDataUpload,BOOL,OFF,OFF,外部通讯,MES数据上传信号
98,OUT,q_MESProductionData,STRING,,",外部通讯,MES生产数据
99,OUT,q_ERPDataSync,BOOL,OFF,OFF,外部通讯,ERP数据同步信号
100,OUT,q_ERPInventoryData,STRING,,",外部通讯,ERP库存数据
101,OUT,q_HMISystemStatus,DWORD,0,0,外部通讯,HMI系统状态字
102,OUT,q_HMIWorkstationStatus0,INT,0,0,外部通讯,HMI工作站0状态
103,OUT,q_HMIWorkstationStatus1,INT,0,0,外部通讯,HMI工作站1状态
104,OUT,q_HMIWorkstationStatus2,INT,0,0,外部通讯,HMI工作站2状态
105,OUT,q_HMIWorkstationStatus3,INT,0,0,外部通讯,HMI工作站3状态
106,OUT,q_HMIWorkstationStatus4,INT,0,0,外部通讯,HMI工作站4状态
107,OUT,q_HMIWorkstationStatus5,INT,0,0,外部通讯,HMI工作站5状态
108,OUT,q_HMIWorkstationStatus6,INT,0,0,外部通讯,HMI工作站6状态
109,OUT,q_HMIWorkstationStatus7,INT,0,0,外部通讯,HMI工作站7状态
110,OUT,q_AlarmActive,BOOL,OFF,OFF,报警处理,报警激活信号
111,OUT,q_StatusWord,DWORD,0,0,状态机,系统状态字
112,OUT,q_AlarmMessage,STRING,,",报警处理,报警消息
113,VAR,b_FirstScan,BOOL,ON,ON,初始化,首次扫描标志
114,VAR,b_SystemReady,BOOL,ON,ON,初始化,系统准备好状态
115,VAR,b_Error,BOOL,OFF,OFF,报警处理,错误状态
116,VAR,b_AllWorkstationsReady,BOOL,OFF,OFF,工作站监控,所有工作站准备就绪
117,VAR,b_AllWorkstationsCompleted,BOOL,OFF,OFF,工作站监控,所有工作站完成
118,VAR,b_MESConnected,BOOL,OFF,OFF,外部通讯,MES系统连接状态
119,VAR,b_ERPConnected,BOOL,OFF,OFF,外部通讯,ERP系统连接状态
120,VAR,b_HMIConnected,BOOL,OFF,OFF,外部通讯,HMI系统连接状态
121,VAR,b_WorkstationReady0,BOOL,OFF,OFF,工作站监控,工作站0准备好内部状态
122,VAR,b_WorkstationReady1,BOOL,OFF,OFF,工作站监控,工作站1准备好内部状态
123,VAR,b_WorkstationReady2,BOOL,OFF,OFF,工作站监控,工作站2准备好内部状态
124,VAR,b_WorkstationReady3,BOOL,OFF,OFF,工作站监控,工作站3准备好内部状态
125,VAR,b_WorkstationReady4,BOOL,OFF,OFF,工作站监控,工作站4准备好内部状态
126,VAR,b_WorkstationReady5,BOOL,OFF,OFF,工作站监控,工作站5准备好内部状态
127,VAR,b_WorkstationReady6,BOOL,OFF,OFF,工作站监控,工作站6准备好内部状态
128,VAR,b_WorkstationReady7,BOOL,OFF,OFF,工作站监控,工作站7准备好内部状态
129,VAR,b_WorkstationRunning0,BOOL,OFF,OFF,工作站监控,工作站0运行内部状态
130,VAR,b_WorkstationRunning1,BOOL,OFF,OFF,工作站监控,工作站1运行内部状态
131,VAR,b_WorkstationRunning2,BOOL,OFF,OFF,工作站监控,工作站2运行内部状态
132,VAR,b_WorkstationRunning3,BOOL,OFF,OFF,工作站监控,工作站3运行内部状态
133,VAR,b_WorkstationRunning4,BOOL,OFF,OFF,工作站监控,工作站4运行内部状态
134,VAR,b_WorkstationRunning5,BOOL,OFF,OFF,工作站监控,工作站5运行内部状态
135,VAR,b_WorkstationRunning6,BOOL,OFF,OFF,工作站监控,工作站6运行内部状态
136,VAR,b_WorkstationRunning7,BOOL,OFF,OFF,工作站监控,工作站7运行内部状态
137,VAR,b_WorkstationError0,BOOL,OFF,OFF,工作站监控,工作站0错误内部状态
138,VAR,b_WorkstationError1,BOOL,OFF,OFF,工作站监控,工作站1错误内部状态
139,VAR,b_WorkstationError2,BOOL,OFF,OFF,工作站监控,工作站2错误内部状态
140,VAR,b_WorkstationError3,BOOL,OFF,OFF,工作站监控,工作站3错误内部状态
141,VAR,b_WorkstationError4,BOOL,OFF,OFF,工作站监控,工作站4错误内部状态
142,VAR,b_WorkstationError5,BOOL,OFF,OFF,工作站监控,工作站5错误内部状态
143,VAR,b_WorkstationError6,BOOL,OFF,OFF,工作站监控,工作站6错误内部状态
144,VAR,b_WorkstationError7,BOOL,OFF,OFF,工作站监控,工作站7错误内部状态
145,VAR,n_WorkstationStatus0,INT,0,0,工作站监控,工作站0状态码
146,VAR,n_WorkstationStatus1,INT,0,0,工作站监控,工作站1状态码
147,VAR,n_WorkstationStatus2,INT,0,0,工作站监控,工作站2状态码
148,VAR,n_WorkstationStatus3,INT,0,0,工作站监控,工作站3状态码
149,VAR,n_WorkstationStatus4,INT,0,0,工作站监控,工作站4状态码
150,VAR,n_WorkstationStatus5,INT,0,0,工作站监控,工作站5状态码
151,VAR,n_WorkstationStatus6,INT,0,0,工作站监控,工作站6状态码
152,VAR,n_WorkstationStatus7,INT,0,0,工作站监控,工作站7状态码
153,VAR,n_WorkstationCycleCount0,INT,0,0,工作站监控,工作站0循环计数
154,VAR,n_WorkstationCycleCount1,INT,0,0,工作站监控,工作站1循环计数
155,VAR,n_WorkstationCycleCount2,INT,0,0,工作站监控,工作站2循环计数
156,VAR,n_WorkstationCycleCount3,INT,0,0,工作站监控,工作站3循环计数
157,VAR,n_WorkstationCycleCount4,INT,0,0,工作站监控,工作站4循环计数
158,VAR,n_WorkstationCycleCount5,INT,0,0,工作站监控,工作站5循环计数
159,VAR,n_WorkstationCycleCount6,INT,0,0,工作站监控,工作站6循环计数
160,VAR,n_WorkstationCycleCount7,INT,0,0,工作站监控,工作站7循环计数
161,VAR,n_CurrentState,INT,0,0,状态机,当前状态机状态
162,VAR,n_ProductionPhase,INT,0,0,工作站控制,生产阶段
163,VAR,tmp_sAlarmMessage,STRING,,",报警处理,报警消息
164,VAR,tmp_sProductionData,STRING,,",外部通讯,生产数据
165,VAR,tmp_sInventoryData,STRING,,",外部通讯,库存数据
166,VAR,n_LoopCounter,INT,0,0,通用,循环计数器
167,VAR,In_tTimer1,BOOL[6],OFF,OFF,通用,计时器输入数组
168,,In_tTimer1[0],BOOL,OFF,OFF,通用,计时器输入数组元素0
169,,In_tTimer1[1],BOOL,OFF,OFF,通用,计时器输入数组元素1
170,,In_tTimer1[2],BOOL,OFF,OFF,通用,计时器输入数组元素2
171,,In_tTimer1[3],BOOL,OFF,OFF,通用,计时器输入数组元素3
172,,In_tTimer1[4],BOOL,OFF,OFF,通用,计时器输入数组元素4
173,,In_tTimer1[5],BOOL,OFF,OFF,通用,计时器输入数组元素5
174,VAR,ET_tTimer1,TIME[6],T#0s,T#0s,通用,计时器输出数组
175,,ET_tTimer1[0],TIME,T#0s,T#0s,通用,计时器输出数组元素0
176,,ET_tTimer1[1],TIME,T#0s,T#0s,通用,计时器输出数组元素1
177,,ET_tTimer1[2],TIME,T#0s,T#0s,通用,计时器输出数组元素2
178,,ET_tTimer1[3],TIME,T#0s,T#0s,通用,计时器输出数组元素3
179,,ET_tTimer1[4],TIME,T#0s,T#0s,通用,计时器输出数组元素4
180,,ET_tTimer1[5],TIME,T#0s,T#0s,通用,计时器输出数组元素5
181,VAR,b_TestStarted,BOOL,OFF,OFF,测试功能,测试开始标志
182,VAR,b_TestCompleted,BOOL,OFF,OFF,测试功能,测试完成标志
183,VAR,n_TestStep,INT,0,0,测试功能,测试步骤
184,VAR,n_MaxWorkstations,INT,8,8,通用,最大工作站数量
